0,  0, tcp
 40960, 10485660.156250
 204800, 2097142.187500
 204800, 2096851.953125
 204800, 2097051.953125
 204800, 2097151.953125
 204800, 2097051.953125
 204800, 2097147.656250
 204800, 2096951.953125
 204800, 2097151.953125
 204800, 2097144.531250
 204800, 2097051.953125
 650000, 660754.687500
 650000, 36.984000
 650000, 80.000001
 10240, 89.999998
 10240, 80.000001
 10240, 89.999998
 10240, 80.000001
 10240, 80.000001
 10240, 89.999998
 204800, 89.499998
 204800, 100.000000
 204800, 100.000000
 204800, 69.999999
 204800, 100.000000
 204800, 89.999998
 204800, 80.000001
 204800, 89.999998
 650000, 89.999998
 650000, 89.999998
 650000, 89.999998
10240,  -81994, tcp
10240,  -4, tcp
10240,  1020, tcp
10240,  -4, tcp
10240,  2044, tcp
10240,  -4, tcp
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 650000, 100.000000
 650000, 80.000001
 650000, 89.999998
 650000, 89.999998
 650000, 89.999998
 650000, 100.000000
 650000, 100.000000
 650000, 69.999999
 650000, 100.000000
 650000, 100.000000
 650000, 89.999998
 650000, 80.000001
 650000, 80.000001
 650000, 89.999998
 10240, 89.999998
 10240, 41942940.625000
 10240, 89.999998
 10240, 100.000000
 10240, 100.000000
 10240, 41943040.625000
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 41943040.625000
 10240, 89.999998
 102400, 99.000001
 102400, 98.000002
 102400, 98.000002
 102400, 79.996091
 102400, 98.000002
 102400, 98.000002
 102400, 98.000002
10240,  0, tcp
 10240, 89.999998
 10240, 41943040.625000
 10240, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 89.999998
 40960, 100.000000
 40960, 89.999998
 40960, 89.999998
 40960, 80.000001
 40960, 10485760.156250
 40960, 89.999998
 40960, 100.000000
 40960, 100.000000
 40960, 100.000000
 40960, 100.000000
 40960, 89.999998
 40960, 89.999998
 40960, 100.000000
 40960, 89.999998
 40960, 89.999998
 40960, 89.999998
40960,  0, tcp
40960,  0, tcp
 40960, 100.000000
 40960, 100.000000
 40960, 89.999998
 40960, 100.000000
 40960, 89.999998
 10240, 100.000000
 10240, 80.000001
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 100.000000
 10240, 100.000000
 10240, 100.000000
 10240, 100.000000
 10240, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
10240,  0, tcp
10240,  0, tcp
10240,  0, tcp
10240,  0, tcp
1024000,  0, tcp
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 80.000001
 10240, 89.999998
 10240, 80.000001
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 40960, 89.999998
 40960, 89.999998
 409600, 99.000001
 409600, 97.000003
 409600, 98.000002
 409600, 99.000001
 409600, 99.000001
 10240, 100.000000
 10240, 69.999999
 10240, 69.999999
 10240, 80.000001
 10240, 80.000001
 10240, 89.999998
 10240, 89.999998
 102400, 99.000001
 102400, 97.000003
 1024000, 99.699998
 2048000, 99.849999
 2048000, 99.849999
 2048000, 100.000000
 2048000, 100.000000
 2048000, 99.750000
10240,  -92165, tcp
10240,  0, tcp
10240,  0, tcp
1024000,  141313, tcp
1024000,  64512, tcp
 4096, 75.000000
 4096, 75.000000
 4096, 75.000000
 4096, 75.000000
 4096, 75.000000
 4096, 75.000000
 4096, 75.000000
 1024, 0.000000
 4096, 0.000000
 4096, 100.000000
 4096, 0.000000
 65000, 0.000000
 65000, 100.000000
10240,  0, tcp
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 1024, 419430300.000000
 10240, 89.999998
 10240, 80.000001
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 1024, 0.000000
 2048, 50.000000
 2048, 50.000000
 2048, 50.000000
 2048, 50.000000
 4096, 100.000000
 4096, 75.000000
 10240, 89.999998
 10240, 60.000002
 10240, 60.000002
 10240, 60.000002
 10240, 50.000000
 10240, 60.000002
 10240, 60.000002
 10240, 60.000002
 10240, 60.000002
 10240, 69.999999
 102400, 97.000003
 102400, 95.999998
 102400, 95.999998
 102400, 95.999998
 2048000, 99.800003
 2048000, 99.900001
 2048000, 99.849999
 2048000, 99.849999
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 10240, 80.000001
 10240, 89.999998
 10240, 100.000000
 40960, 94.999999
 40960, 69.999999
 40960, 80.000001
 40960, 10485660.156250
 40960, 89.999998
 40960, 69.999999
 40960, 80.000001
 40960, 69.999999
 40960, 89.999998
 40960, 100.000000
 40960, 80.000001
 40960, 69.999999
 40960, 69.999999
 10240, 50.000000
 10240, 89.999998
 10240, 100.000000
 10240, 40.000001
 10240, 80.000001
 1024, 0.000000
 4096, 0.000000
 4096, 0.000000
 4096, 0.000000
 20480, 0.000000
 65000, 0.000000
 1024, 0.000000
 4096, 0.000000
 20480, 0.000000
 65000, 0.000000
